name,popularity,release_date,valence,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,tempo,duration_ms,year,simple_name,Sequence
Sign of the Cross - Live at Rock in Rio; 2015 Remastered Version,23,2002-03-21,0.11,0.225,0.915,0,-7.26,1,0.0884,0.00718,0.211,0.927,110.95,650496,2002,Sign of the Cross ,7
The Wicker Man - 2015 Remaster,59,2000-01-01,0.296,0.424,0.98,4,-4.33,0,0.154,0.000855,5.72e-06,0.129,101.502,275253,2000,The Wicker Man ,6
The Clansman - 2015 Remaster,50,1998-01-01,0.177,0.257,0.683,2,-6.67,1,0.0495,0.15,0.0111,0.116,154.106,539787,1998,The Clansman ,2
Fear of the Dark - 2015 Remaster,72,1992-01-01,0.227,0.308,0.866,2,-5.671,0,0.059,0.000739,0.00141,0.232,109.825,438120,1992,Fear of the Dark ,9
The Evil That Men Do - 2015 Remaster,57,1988-01-01,0.31,0.255,0.977,4,-4.672,0,0.11,0.00852,2.8e-06,0.0776,161.738,274213,1988,The Evil That Men Do ,12
2 Minutes to Midnight - 2015 Remaster,66,1984-01-01,0.595,0.446,0.97,9,-5.004,0,0.0508,0.00754,0.000275,0.199,94.233,363587,1984,2 Minutes to Midnight ,1
Flight of Icarus - 2015 Remaster,57,1983-01-01,0.343,0.368,0.917,6,-4.829,0,0.0772,0.147,0.000121,0.169,110.455,230760,1983,Flight of Icarus ,8
The Trooper - 2015 Remaster,74,1983-01-01,0.669,0.285,0.908,4,-4.601,0,0.0705,0.0318,0.00909,0.311,159.756,252733,1983,The Trooper ,3
The Number of the Beast - 2015 Remaster,69,1982-01-01,0.268,0.409,0.89,0,-6.839,1,0.0558,0.088,0.107,0.0935,100.409,290587,1982,The Number of the Beast ,10
Run to the Hills - 2015 Remaster,72,1982-01-01,0.458,0.249,0.943,0,-5.188,1,0.0669,0.0286,0.00401,0.162,173.671,233507,1982,Run to the Hills ,14
Hallowed Be Thy Name - 2015 Remaster,67,1982-01-01,0.3,0.313,0.882,0,-6.215,1,0.0355,0.0346,0.338,0.45,103.981,431093,1982,Hallowed Be Thy Name ,13
Iron Maiden - 2015 Remaster,50,1980-01-01,0.277,0.322,0.988,0,-4.074,1,0.232,0.000731,0.00411,0.451,101.559,214360,1980,Iron Maiden ,11
