name,danceability
The Apparition ,0.592
Running Free ,0.478
Stratego,0.473
Alexander the Great (356,0.454
2 Minutes to Midnight ,0.446
The Man of Sorrows,0.441
Invaders ,0.439
Wrathchild ,0.438
Days Of Future Past,0.433
The Wicker Man ,0.424
The Number of the Beast ,0.409
Where Eagles Dare ,0.407
Different World ,0.406
The Writing On The Wall,0.402
The Unbeliever ,0.399
Futureal ,0.398
Flash of the Blade ,0.392
The Aftermath ,0.392
Rime of the Ancient Mariner ,0.39
Man on the Edge ,0.377
The Edge of Darkness ,0.376
The Clairvoyant ,0.374
Tailgunner ,0.373
Quest for Fire ,0.371
Flight of Icarus ,0.368
Blood on the World's Hands ,0.366
Fortunes of War ,0.363
Look for the Truth ,0.363
Strange World ,0.36
Fear Is the Key ,0.359
Weekend Warrior ,0.359
The Educated Fool ,0.358
Charlotte the Harlot ,0.358
Losfer Words (Big 'Orra) ,0.354
Brave New World ,0.353
The Reincarnation of Benjamin Breeg ,0.353
Don't Look to the Eyes of a Stranger ,0.351
Rainmaker ,0.35
Sign of the Cross ,0.348
Senjutsu,0.347
Back in the Village ,0.347
The Duellists ,0.345
The Alchemist,0.341
Drifter ,0.34
The Nomad ,0.338
Churchill’s Speech ,0.338
Coming Home,0.332
Sea of Madness ,0.328
Judgement of Heaven ,0.328
The Legacy ,0.328
Coming Home ,0.324
Run Silent Run Deep ,0.324
Wasting Love ,0.324
Iron Maiden ,0.322
Phantom of the Opera ,0.319
Be Quick or Be Dead ,0.319
2 AM ,0.319
Intro (Churchill's Speech) ,0.318
These Colours Don't Run ,0.317
New Frontier ,0.316
For the Greater Good of God ,0.316
Wasted Years ,0.314
The Alchemist ,0.313
Hallowed Be Thy Name ,0.313
Can I Play with Madness ,0.313
Dance of Death ,0.311
The Angel and the Gambler ,0.311
Tears of a Clown,0.311
The Final Frontier ,0.311
The Fugitive ,0.311
Mother Of Mercy,0.309
The Pilgrim ,0.308
Fear of the Dark ,0.308
The Prisoner ,0.306
Mother of Mercy ,0.306
When The Wild Wind Blows,0.305
Lord of the Flies ,0.305
Chains of Misery ,0.305
22 Acacia Avenue ,0.305
Revelations ,0.304
Death or Glory ,0.303
Wildest Dreams ,0.302
Heaven Can Wait ,0.302
Aces High ,0.3
Prodigal Son ,0.3
Powerslave ,0.3
Hell On Earth,0.298
The Time Machine,0.297
Churchill's Speech ,0.296
The Ides of March ,0.296
When the Wild Wind Blows ,0.296
Mother Russia ,0.296
Dream of Mirrors ,0.295
Isle of Avalon ,0.295
Prowler ,0.295
Sun and Steel ,0.295
Brighter Than a Thousand Suns ,0.294
Genghis Khan ,0.291
If Eternity Should Fail,0.291
Isle Of Avalon,0.291
Death Of The Celts,0.291
Purgatory ,0.29
From Here to Eternity ,0.288
Children of the Damned ,0.286
Stranger in a Strange Land ,0.286
Montségur ,0.285
The Trooper ,0.285
Ghost of the Navigator ,0.282
Bring Your Daughter... to the Slaughter ,0.281
Lord of Light ,0.281
Afraid to Shoot Strangers ,0.279
Gangland ,0.277
The Red and the Black,0.275
The Fallen Angel ,0.274
Murders in the Rue Morgue ,0.272
The Assassin ,0.272
No Prayer for the Dying ,0.272
Face in the Sand ,0.272
When the River Runs Deep,0.271
Childhood's End ,0.269
When Two Worlds Collide ,0.267
The Mercenary ,0.266
Moonchild ,0.266
El Dorado,0.265
Satellite 15,0.265
Remember Tomorrow ,0.264
The Prophecy ,0.264
El Dorado ,0.263
Satellite 15.....The Final Frontier ,0.263
If Eternity Should Fail ,0.262
Fates Warning ,0.262
Judas Be My Guide ,0.261
The Longest Day ,0.259
Innocent Exile ,0.257
The Clansman ,0.257
Intro (Arthur's Farewell) ,0.256
The Evil That Men Do ,0.255
Lost In A Lost World,0.251
Run to the Hills ,0.249
Empire of the Clouds,0.249
Gates of Tomorrow ,0.245
Die with Your Boots On ,0.245
Holy Smoke ,0.243
Blood Brothers ,0.243
Seventh Son of a Seventh Son ,0.243
Still Life ,0.241
Bring Your Daughter...To The Slaughter ,0.241
Total Eclipse ,0.238
Caught Somewhere in Time ,0.238
The Thin Line Between Love and Hate ,0.236
To Tame a Land ,0.233
Shadows of the Valley,0.231
The Wickerman ,0.227
Darkest Hour,0.222
Transylvania ,0.221
Killers ,0.219
Lightning Strikes Twice ,0.219
The Talisman,0.216
Intro ,0.215
The Talisman ,0.215
Age of Innocence ,0.213
Out of the Shadows ,0.213
The Man Who Would Be King,0.212
The Great Unknown,0.211
Out of the Silent Planet ,0.209
Deja Vu ,0.208
Another Life ,0.201
The Man Who Would Be King ,0.199
The Book of Souls,0.198
Starblind,0.197
Infinite Dreams ,0.196
Sanctuary ,0.194
The Loneliness of the Long Distance Runner ,0.189
Journeyman ,0.188
Satellite 15 ,0.188
Hooks in You ,0.186
The Book of Souls ,0.185
Starblind ,0.183
Death or Glory,0.181
Only the Good Die Young ,0.18
Speed of Light,0.176
The Great Unknown ,0.176
No More Lies ,0.176
Como Estais Amigos ,0.172
Paschendale ,0.168
Public Enema Number One ,0.166
The Red and the Black ,0.165
The Parchment,0.149
Speed of Light ,0.131
