date,president,mandate,type,title,location,url,source,word_count
2087-01-31,Jose Sarney,Jose Sarney (2087),discurso,"3 de julho de 1985 - Pronunciamento do Presidente José Sarney, ao receber homenagem no Instituto dos Advogados do Brasil",,https://www.biblioteca.presidencia.gov.br/presidencia/ex-presidentes/jose-sarney/discursos/1985/52.pdf/view,biblioteca,1180
2026-10-13,Luiz Inacio Lula da Silva,Lula 3 (2023-),entrevista,"Entrevista coletiva do presidente Lula após a abertura do Fórum Mundial da Alimentação 2025, em Roma",13 de outubro de 2026,https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/entrevistas/entrevista-coletiva-do-presidente-lula-apos-a-abertura-do-forum-mundial-da-alimentacao-2025-em-roma,planalto,2547
2026-02-28,Luiz Inacio Lula da Silva,Lula 3 (2023-),discurso,"Declaração à imprensa do presidente Lula em Juiz de Fora, a respeito das enchentes em Minas Gerais",28 de fevereiro de 2026,https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos-e-pronunciamentos/declaracao-a-imprensa-do-presidente-lula-em-juiz-de-fora-a-respeito-das-enchentes-em-minas-gerais,planalto,1799
2026-02-27,Luiz Inacio Lula da Silva,Lula 3 (2023-),discurso,Pronunciamento do presidente Lula no encerramento da 6ª Conferência Nacional das Cidades,Brasília/DF,https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos-e-pronunciamentos/pronunciamento-do-presidente-lula-no-encerramento-da-6a-conferencia-nacional-das-cidades,planalto,3323
2026-02-26,Luiz Inacio Lula da Silva,Lula 3 (2023-),discurso,Pronunciamento do presidente na cerimônia do Tour da Taça da Copa do Mundo Fifa,Brasília/DF,https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos-e-pronunciamentos/pronunciamento-do-presidente-na-cerimonia-do-tour-da-taca-da-copa-do-mundo-fifa,planalto,2884
2026-02-23,Luiz Inacio Lula da Silva,Lula 3 (2023-),discurso,Pronunciamento do presidente Lula no encerramento do Fórum Empresarial Brasil-Coreia do Sul,23 de fevereiro de 2026,https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos-e-pronunciamentos/pronunciamento-do-presidente-lula-no-encerramento-do-forum-empresarial-brasil-coreia-do-sul,planalto,2112
2026-02-23,Luiz Inacio Lula da Silva,Lula 3 (2023-),entrevista,"Entrevista do presidente Lula ao jornal The Chosun Ilbo, Coreia do Sul",,https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/entrevistas/entrevista-do-presidente-lula-ao-jornal-the-chosun-ilbo-da-coreia-do-sul,planalto,1402
2026-02-23,Luiz Inacio Lula da Silva,Lula 3 (2023-),discurso,Declaração do presidente Lula à imprensa por ocasião da visita de Estado à Coreia do Sul,23 de fevereiro de 2026,https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos-e-pronunciamentos/declaracao-do-presidente-lula-a-imprensa-por-ocasiao-da-visita-de-estado-a-coreia-do-sul,planalto,847
2026-02-22,Luiz Inacio Lula da Silva,Lula 3 (2023-),discurso,"Declaração do presidente Lula à imprensa e coletiva, em Nova Délhi, por ocasião da visita de Estado à Índia",22 de fevereiro de 2026,https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos-e-pronunciamentos/declaracao-do-presidente-lula-a-imprensa-e-coletiva-em-nova-delhi-por-ocasiao-da-visita-de-estado-a-india,planalto,6955
2026-02-21,Luiz Inacio Lula da Silva,Lula 3 (2023-),discurso,Pronunciamento do presidente Lula no encerramento do Fórum Empresarial Brasil-Índia,21 de fevereiro de 2026,https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos-e-pronunciamentos/pronunciamento-do-presidente-lula-no-forum-empresarial-brasil-india,planalto,1799
2026-02-20,Luiz Inacio Lula da Silva,Lula 3 (2023-),entrevista,Entrevista do presidente Luiz Inácio Lula da Silva à India Today TV,20 de fevereiro de 2026,https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/entrevistas/entrevista-do-presidente-luiz-inacio-lula-da-silva-a-india-today-tv,planalto,6505
