sif;razao_social;uf;municipio;data_producao;search_da_api;url
42;JBS S/A;MT;BARRA DO GARÇAS;2026-03-15;42150326;https://www.friboi.com.br/qualidade/rastreabilidade/?parm=%3CSIF%3E42%3C%2FSIF%3E%3CDATA_PROD%3E15%2F03%2F2026%3C%2FDATA_PROD%3E
51;JBS S/A;MT;PONTES E LACERDA;2026-03-15;51150326;https://www.friboi.com.br/qualidade/rastreabilidade/?parm=%3CSIF%3E51%3C%2FSIF%3E%3CDATA_PROD%3E15%2F03%2F2026%3C%2FDATA_PROD%3E
175;JBS S/A;RO;SÃO MIGUEL DO GUAPORÉ;2026-03-15;175150326;https://www.friboi.com.br/qualidade/rastreabilidade/?parm=%3CSIF%3E175%3C%2FSIF%3E%3CDATA_PROD%3E15%2F03%2F2026%3C%2FDATA_PROD%3E
200;JBS S/A;MT;JUARA;2026-03-15;200150326;https://www.friboi.com.br/qualidade/rastreabilidade/?parm=%3CSIF%3E200%3C%2FSIF%3E%3CDATA_PROD%3E15%2F03%2F2026%3C%2FDATA_PROD%3E
457;JBS S/A;PA;MARABÁ;2026-03-15;457150326;https://www.friboi.com.br/qualidade/rastreabilidade/?parm=%3CSIF%3E457%3C%2FSIF%3E%3CDATA_PROD%3E15%2F03%2F2026%3C%2FDATA_PROD%3E
807;JBS S/A;PA;REDENÇÃO;2026-03-15;807150326;https://www.friboi.com.br/qualidade/rastreabilidade/?parm=%3CSIF%3E807%3C%2FSIF%3E%3CDATA_PROD%3E15%2F03%2F2026%3C%2FDATA_PROD%3E
1110;JBS S/A;PA;SANTANA DO ARAGUAIA;2026-03-15;1110150326;https://www.friboi.com.br/qualidade/rastreabilidade/?parm=%3CSIF%3E1110%3C%2FSIF%3E%3CDATA_PROD%3E15%2F03%2F2026%3C%2FDATA_PROD%3E
2019;JBS S/A;MT;PEDRA PRETA;2026-03-15;2019150326;https://www.friboi.com.br/qualidade/rastreabilidade/?parm=%3CSIF%3E2019%3C%2FSIF%3E%3CDATA_PROD%3E15%2F03%2F2026%3C%2FDATA_PROD%3E
2350;JBS S/A;PA;TUCUMÃ;2026-03-15;2350150326;https://www.friboi.com.br/qualidade/rastreabilidade/?parm=%3CSIF%3E2350%3C%2FSIF%3E%3CDATA_PROD%3E15%2F03%2F2026%3C%2FDATA_PROD%3E
2880;JBS S/A;RO;PIMENTA BUENO;2026-03-15;2880150326;https://www.friboi.com.br/qualidade/rastreabilidade/?parm=%3CSIF%3E2880%3C%2FSIF%3E%3CDATA_PROD%3E15%2F03%2F2026%3C%2FDATA_PROD%3E
2979;JBS S/A;MT;ARAPUTANGA;2026-03-15;2979150326;https://www.friboi.com.br/qualidade/rastreabilidade/?parm=%3CSIF%3E2979%3C%2FSIF%3E%3CDATA_PROD%3E15%2F03%2F2026%3C%2FDATA_PROD%3E
3000;JBS S/A;MT;DIAMANTINO;2026-03-15;3000150326;https://www.friboi.com.br/qualidade/rastreabilidade/?parm=%3CSIF%3E3000%3C%2FSIF%3E%3CDATA_PROD%3E15%2F03%2F2026%3C%2FDATA_PROD%3E
3470;JBS S/A;MT;CONFRESA;2026-03-15;3470150326;https://www.friboi.com.br/qualidade/rastreabilidade/?parm=%3CSIF%3E3470%3C%2FSIF%3E%3CDATA_PROD%3E15%2F03%2F2026%3C%2FDATA_PROD%3E
4121;JBS S/A;MT;ÁGUA BOA;2026-03-15;4121150326;https://www.friboi.com.br/qualidade/rastreabilidade/?parm=%3CSIF%3E4121%3C%2FSIF%3E%3CDATA_PROD%3E15%2F03%2F2026%3C%2FDATA_PROD%3E
4149;JBS S/A;RO;PORTO VELHO;2026-03-15;4149150326;https://www.friboi.com.br/qualidade/rastreabilidade/?parm=%3CSIF%3E4149%3C%2FSIF%3E%3CDATA_PROD%3E15%2F03%2F2026%3C%2FDATA_PROD%3E
4268;JBS S/A;MT;COLÍDER;2026-03-15;4268150326;https://www.friboi.com.br/qualidade/rastreabilidade/?parm=%3CSIF%3E4268%3C%2FSIF%3E%3CDATA_PROD%3E15%2F03%2F2026%3C%2FDATA_PROD%3E
4302;JBS S/A;MT;ALTA FLORESTA;2026-03-15;4302150326;https://www.friboi.com.br/qualidade/rastreabilidade/?parm=%3CSIF%3E4302%3C%2FSIF%3E%3CDATA_PROD%3E15%2F03%2F2026%3C%2FDATA_PROD%3E
4333;JBS S/A;RO;VILHENA;2026-03-15;4333150326;https://www.friboi.com.br/qualidade/rastreabilidade/?parm=%3CSIF%3E4333%3C%2FSIF%3E%3CDATA_PROD%3E15%2F03%2F2026%3C%2FDATA_PROD%3E
5616;JBS S/A;PA;SANTA MARIA DAS BARREIRAS;2026-03-15;5616150326;https://www.friboi.com.br/qualidade/rastreabilidade/?parm=%3CSIF%3E5616%3C%2FSIF%3E%3CDATA_PROD%3E15%2F03%2F2026%3C%2FDATA_PROD%3E
