ano,uf,total_no_ano
2008.0,AC,17
2008.0,AL,31
2008.0,AM,71
2008.0,AP,11
2008.0,BA,65
2008.0,CE,36
2008.0,DF,9
2008.0,ES,23
2008.0,GO,146
2008.0,MA,32
2008.0,MG,371
2008.0,MS,41
2008.0,MT,71
2008.0,PA,131
2008.0,PB,64
2008.0,PE,12
2008.0,PI,9
2008.0,PR,35
2008.0,RJ,45
2008.0,RN,36
2008.0,RO,71
2008.0,RR,39
2008.0,RS,41
2008.0,SC,134
2008.0,SE,2
2008.0,SP,144
2008.0,TO,69
2009.0,AC,21
2009.0,AL,14
2009.0,AM,18
2009.0,AP,4
2009.0,BA,58
2009.0,CE,29
2009.0,DF,10
2009.0,ES,18
2009.0,GO,54
2009.0,MA,27
2009.0,MG,293
2009.0,MS,35
2009.0,MT,39
2009.0,PA,141
2009.0,PB,58
2009.0,PE,59
2009.0,PI,9
2009.0,PR,46
2009.0,RJ,16
2009.0,RN,19
2009.0,RO,51
2009.0,RR,23
2009.0,RS,43
2009.0,SC,81
2009.0,SE,5
2009.0,SP,63
2009.0,TO,37
2010.0,AC,27
2010.0,AL,7
2010.0,AM,90
2010.0,AP,1
2010.0,BA,36
2010.0,CE,23
2010.0,DF,2
2010.0,ES,15
2010.0,GO,108
2010.0,MA,39
2010.0,MG,102
2010.0,MS,25
2010.0,MT,14
2010.0,PA,98
2010.0,PB,99
2010.0,PE,5
2010.0,PI,22
2010.0,PR,44
2010.0,RJ,46
2010.0,RN,94
2010.0,RO,39
2010.0,RR,16
2010.0,RS,28
2010.0,SC,101
2010.0,SE,3
2010.0,SP,62
2010.0,TO,22
2011.0,AC,6
2011.0,AL,23
2011.0,AM,45
2011.0,AP,5
2011.0,BA,101
2011.0,CE,88
2011.0,DF,13
2011.0,ES,22
2011.0,GO,105
2011.0,MA,28
2011.0,MG,60
2011.0,MS,74
2011.0,MT,42
2011.0,PA,115
2011.0,PB,117
2011.0,PE,74
2011.0,PI,83
2011.0,PR,83
2011.0,RJ,43
2011.0,RN,36
2011.0,RO,60
2011.0,RR,22
2011.0,RS,35
2011.0,SC,62
2011.0,SE,21
2011.0,SP,88
2011.0,TO,38
2012.0,AC,9
2012.0,AL,18
2012.0,AM,46
2012.0,AP,5
2012.0,BA,187
2012.0,CE,111
2012.0,DF,39
2012.0,ES,92
2012.0,GO,111
2012.0,MA,47
2012.0,MG,78
2012.0,MS,111
2012.0,MT,62
2012.0,PA,69
2012.0,PB,336
2012.0,PE,51
2012.0,PI,76
2012.0,PR,117
2012.0,RJ,143
2012.0,RN,15
2012.0,RO,31
2012.0,RR,25
2012.0,RS,72
2012.0,SC,250
2012.0,SE,11
2012.0,SP,82
2012.0,TO,45
2013.0,AC,28
2013.0,AL,72
2013.0,AM,49
2013.0,AP,4
2013.0,BA,135
2013.0,CE,204
2013.0,DF,37
2013.0,ES,286
2013.0,GO,122
2013.0,MA,37
2013.0,MG,136
2013.0,MS,88
2013.0,MT,96
2013.0,PA,90
2013.0,PB,316
2013.0,PE,21
2013.0,PI,71
2013.0,PR,236
2013.0,RJ,49
2013.0,RN,36
2013.0,RO,105
2013.0,RR,32
2013.0,RS,117
2013.0,SC,243
2013.0,SE,6
2013.0,SP,113
2013.0,TO,82
2014.0,AC,70
2014.0,AL,62
2014.0,AM,72
2014.0,AP,17
2014.0,BA,116
2014.0,CE,490
