Shipment Date,Matching Fields,Consignee,Consignee Full Address,Consignee Email 1,Consignee Phone 1,Consignee Website 1,Consignee Profile,Consignee Trade Roles,Shipper,Shipper Full Address,Shipper Email 1,Shipper Phone 1,Shipper Website 1,Shipper Profile,Shipper Trade Roles,Notify Party,HS Code,Goods Shipped,Volume (TEU),Gross Weight (kg)
2021-12-01,HS Code (4-digit): 9305,Asia Shipping,"R. Alexandre Herculano, 197 - ANDAR 13 SALA - Gonzaga, Santos - SP, 11050-030, Brazil",,,,https://panjiva.com/Asia-Shipping/71208250,Logistics,Asia Shipping,Hong Kong,,,,https://panjiva.com/Asia-Shipping/87844159,Logistics,ASIA SHIPPING,93050000,7 CARTONS OF AIRSOFT ACCESSORIES (PARTS),0.01,77.0
2021-03-19,HS Code (4-digit): 9305,Allink Transportes Internacionais L,"R. Martin Afonso, 103 - 01 - Centro, Santos - SP, 11013-151, Brazil",,+55 13 3213 1901,,https://panjiva.com/Allink-Transportes-Internacionais-L/36025099,Logistics,Shipco Transport,Taiwan,,,,https://panjiva.com/Shipco-Transport/87849573,Logistics,ALLINK LOGISTIC GROUP,93059100,1 CASE OF SPRING & SCREW PARTS,0.0,41.0
2021-02-27,HS Code (4-digit): 9305,Carpo Logistics Ltda Epp,"R. Conselheiro João Alfredo, 193 - Macuco, Santos - SP, 11015-220, Brazil",,,,https://panjiva.com/Carpo-Logistics-Ltda-Epp/42209234,Logistics,"Vibrant Global Logistics (Ningbo) Co., Ltd.",China,,,,https://panjiva.com/Vibrant-Global-Logistics-Ningbo-Co-Ltd/87844004,Logistics,CARPO LOGISTICS LTDA EPP,93059900,1 X 20 CONTAINERS CONTAINING 139 CARTONS OF STOCKS,1.0,2333.0
2021-02-18,HS Code (4-digit): 9305,Msl Corporate,"Edifício Mercosul - R. da Consolação, 382 - 1 ANDAR - Consolação, São Paulo - SP, 01302-908, Brazil",,,,https://panjiva.com/Msl-Corporate/36032524,"","Fan Cheng International Transportation Services Co., Ltd.",Hong Kong,,,,https://panjiva.com/Fan-Cheng-International-Transportation-Services-Co-Ltd/87850478,Logistics,MSL CORPORATE,93052000,"1 PALLET OF ALAVANCA DO FECHO, ARMADILHA SOBREPOSTA MONOGATILHO CAL , AR MADILHA SOBREPOSTA MONOGATILHO CAL , MARTELOS, STEEL HOOK",0.11,870.0
2021-02-04,HS Code (4-digit): 9305,Carpo Logistics Ltda Epp,"R. Conselheiro João Alfredo, 193 - Macuco, Santos - SP, 11015-220, Brazil",,,,https://panjiva.com/Carpo-Logistics-Ltda-Epp/42209234,Logistics,Cns Intertrans Co.,China,,,,https://panjiva.com/Cns-Intertrans-Co/87844078,"",CARPO LOGISTICS LTDA EPP,93050000,1 X 20 CONTAINERS CONTAINING 151 CARTONS OF STOCKS,1.0,3020.0
2020-12-01,HS Code (4-digit): 9305,Ctl Logistics Do Brasil Ltda,"Av. Jabaquara, 2229 - CONJ 91 E 92 - Mirandópolis, São Paulo - SP, 04045-003, Brazil",,,,https://panjiva.com/Ctl-Logistics-Do-Brasil-Ltda/66600863,Logistics,Charter Link Logistics Ltd.,Hong Kong,,,,https://panjiva.com/Charter-Link-Logistics-Ltd/87845524,"Manufacturer, Logistics",CTL LOGISTICS DO BRASIL LTDA,93059900,10 CARTONS OF TOY PARTS,0.02,184.0
2020-11-19,HS Code (4-digit): 9305,Carpo Logistics Ltda Epp,"R. Conselheiro João Alfredo, 193 - Macuco, Santos - SP, 11015-220, Brazil",,,,https://panjiva.com/Carpo-Logistics-Ltda-Epp/42209234,Logistics,"Vibrant Global Logistics (Ningbo) Co., Ltd.",China,,,,https://panjiva.com/Vibrant-Global-Logistics-Ningbo-Co-Ltd/87844004,Logistics,CARPO LOGISTICS LTDA EPP,93052000,1 X 20 CONTAINERS CONTAINING 75 CARTONS OF STOCKS,1.0,1325.0
2020-10-29,HS Code (4-digit): 9305,Carpo Logistics Ltda Epp,"R. Conselheiro João Alfredo, 193 - Macuco, Santos - SP, 11015-220, Brazil",,,,https://panjiva.com/Carpo-Logistics-Ltda-Epp/42209234,Logistics,"Vibrant Global Logistics (Ningbo) Co., Ltd.",China,,,,https://panjiva.com/Vibrant-Global-Logistics-Ningbo-Co-Ltd/87844004,Logistics,CARPO LOGISTICS LTDA EPP,93059900,1 X 20 CONTAINERS CONTAINING 127 CARTONS OF  STOCKS,1.0,2794.0
2020-09-15,HS Code (4-digit): 9305,,,,,,,,,,,,,,,UNKNOWN CUSTOMER,93050000,ARM AND AMMUNITION,0.0,3480.0
2020-09-15,HS Code (4-digit): 9305,,,,,,,,,,,,,,,UNKNOWN CUSTOMER,93050000,ARM AND AMMUNITION,0.0,3553.0
