,Shipment Date,Matching Fields,Consignee,Consignee Full Address,Consignee Email 1,Consignee Phone 1,Consignee Website 1,Consignee Profile,Consignee Trade Roles,Shipper,Shipper Full Address,Shipper Email 1,Shipper Phone 1,Shipper Website 1,Shipper Profile,Shipper Trade Roles,Notify Party,HS Code,Goods Shipped,Volume (TEU),Gross Weight (kg),is_weapon
0,2021-11-02,HS Code (4-digit): 9301,Comando Do Exercito,"Av. Brasil, 25540 - Vila Militar, Rio de Janeiro - RJ, 21615-335, Brazil",,+55 61 3317 3051,,https://panjiva.com/Comando-Do-Exercito/36037225,,Fn Herstal Sa,"Rue Voie de Liège 33, 4040 Herstal, Belgium",,+32 4 240 81 11,,https://panjiva.com/Fn-Herstal-SA/1092839,Manufacturer,COMANDO DO EXERCITO,93019000,1 X 20 CONTAINERS CONTAINING 34 CASE OF MINIMI 5.56 MK3 PARA MACHINE GUN MINIMI 7.62 MK3 MACHINE GUN PARTS & SPARES,1.0,1796.0,True
1,2021-09-30,HS Code (4-digit): 9301,Cargo Shipping Sao Paulo Ltda,"Condomínio Edifício Paineiras - R. Fiação da Saúde, 145 - Jardim da Saúde, São Paulo - SP, 04144-020, Brazil",,,,https://panjiva.com/Cargo-Shipping-Sao-Paulo-Ltda/37428042,Logistics,Ab International Logistics Group Inc.,United States,,,,https://panjiva.com/Ab-International-Logistics-Group-Inc/111930885,Logistics,CARGO SHIPPING SERVICES,93010000,1 X 20 CONTAINERS CONTAINING 10 PALLET OF AES ITN,1.0,2804.0,True
2,2021-06-29,HS Code (4-digit): 9301,Comando Da Marinha,"Av. Brasil, 10500 - Guadalupe, Rio de Janeiro - RJ, 21660-000, Brazil",,,,https://panjiva.com/Comando-Da-Marinha/39584344,,Bae Systems Bofors Ab,Sweden,,,,https://panjiva.com/Bae-Systems-Bofors-Ab/40059244,,COMANDO DA MARINHA,93010000,1 X 40 CONTAINERS CONTAINING 5 BOXES OF LITHIUM ION BATTERIES ACCESSORIES,2.0,9107.0,True
3,2021-02-22,HS Code (4-digit): 9301,Ctl Logistics Do Brasil Ltda,"Av. Jabaquara, 2229 - CONJ 91 E 92 - Mirandópolis, São Paulo - SP, 04045-003, Brazil",,,,https://panjiva.com/Ctl-Logistics-Do-Brasil-Ltda/66600863,Logistics,Charter Link Logistics Ltd.,Hong Kong,,,,https://panjiva.com/Charter-Link-Logistics-Ltd/87845524,"Manufacturer, Logistics",CTL LOGISTICS DO BRASIL LTDA,93010000,1 PACK OF GLASS PLATE OPTICAL SORTING MACHINE,0.12,1300.0,True
4,2020-10-19,HS Code (4-digit): 9301,Comando Da Marinha,"Av. Brasil, 10500 - Guadalupe, Rio de Janeiro - RJ, 21660-000, Brazil",,,,https://panjiva.com/Comando-Da-Marinha/39584344,,Naval Group Sa,"42 Rue du Dr Finlay, 75015 Paris-15E-Arrondissement, France",,,,https://panjiva.com/Naval-Group-SA/46736013,,COMANDO DA MARINHA,93010000,1 CRATES OF TLT SET CDRL 1A,1.84,6920.0,True
5,2020-07-25,HS Code (4-digit): 9301,Comando Da Marinha,"Av. Brasil, 10500 - Guadalupe, Rio de Janeiro - RJ, 21660-000, Brazil",,,,https://panjiva.com/Comando-Da-Marinha/39584344,,Naval Group Sa,"42 Rue du Dr Finlay, 75015 Paris-15E-Arrondissement, France",,,,https://panjiva.com/Naval-Group-SA/46736013,,COMANDO DA MARINHA,93010000,2 X 40 CONTAINERS CONTAINING 2 CRATES OF LAUNCHING TUBES EQUIPMENT,4.0,13750.0,True
6,2020-07-25,HS Code (4-digit): 9301,Comando Da Marinha,"Av. Brasil, 10500 - Guadalupe, Rio de Janeiro - RJ, 21660-000, Brazil",,,,https://panjiva.com/Comando-Da-Marinha/39584344,,Naval Group Sa,"42 Rue du Dr Finlay, 75015 Paris-15E-Arrondissement, France",,,,https://panjiva.com/Naval-Group-SA/46736013,,COMANDO DA MARINHA,93010000,3 X 40 CONTAINERS CONTAINING 3 CRATES OF LAUNCHING TUBES EQUIPMENT,6.0,22590.0,True
7,2020-01-13,HS Code (4-digit): 9301,Comando Da Marinha,"Av. Brasil, 10500 - Guadalupe, Rio de Janeiro - RJ, 21660-000, Brazil",,,,https://panjiva.com/Comando-Da-Marinha/39584344,,Naval Group Sa,"42 Rue du Dr Finlay, 75015 Paris-15E-Arrondissement, France",,,,https://panjiva.com/Naval-Group-SA/46736013,,COMANDO DA MARINHA,93010000,16 CRATES OF BOW SHUTTER KINEMATICS,0.47,1281.0,True
8,2020-01-13,HS Code (4-digit): 9301,Comando Da Marinha,"Av. Brasil, 10500 - Guadalupe, Rio de Janeiro - RJ, 21660-000, Brazil",,,,https://panjiva.com/Comando-Da-Marinha/39584344,,Naval Group Sa,"42 Rue du Dr Finlay, 75015 Paris-15E-Arrondissement, France",,,,https://panjiva.com/Naval-Group-SA/46736013,,COMANDO DA MARINHA,93010000,1 X 20 & 2 X 40 CONTAINERS CONTAINING 6 CRATES OF BOW SHUTTER KINEMATICS,0.97,2643.0,True
9,2019-08-21,HS Code (4-digit): 9301,Jas Forwarding Worldwide,"R. Fidêncio Ramos, 223 - 5 ANDAR - Vila Olímpia, São Paulo - SP, 04551-010, Brazil",,,,https://panjiva.com/Jas-Forwarding-Worldwide/36373760,Logistics,Jas Forwarding Worldwide,Panama,,,,https://panjiva.com/Jas-Forwarding-Worldwide/36050922,Logistics,JAS FORWARDING WORLDWIDE,93010000,1 SKIDS OF AUTO PARTS,0.01,44.0,True
